ADES,DATE,N,N_VALID,SUM_TRAVEL,SUM_REF,CHECK_ADD,SUM_ADD_TIME,OK,AVG_ADD_TIME
SBSP,2023-06-01T00:00:00Z,8380,8377,256478.83333333436,202538.69666667783,53940.13666666657,53940.13666665653,TRUE,6.4390756436261825
SBSP,2023-07-01T00:00:00Z,9168,9164,281845.4833333335,220495.50000001828,61349.98333333328,61349.983333315235,TRUE,6.694672995778616
SBSP,2023-08-01T00:00:00Z,9307,9294,290771.6500000014,222930.32000001543,67841.3300000002,67841.32999998599,TRUE,7.299476006023885
SBSP,2023-09-01T00:00:00Z,8618,8604,260899.21666666673,206621.37666668143,54277.840000000215,54277.8399999853,TRUE,6.30844258484255
SBSP,2023-10-01T00:00:00Z,8969,8939,276130.8166666675,214422.91666668173,61707.89999999995,61707.89999998579,TRUE,6.903221836892918
SBSP,2023-11-01T00:00:00Z,8299,8255,249870.39999999973,199073.3500000112,50797.04999999976,50797.04999998852,TRUE,6.153488794668506
SBSP,2023-12-01T00:00:00Z,8924,8912,264217.6166666668,213523.33666668227,50694.27999999982,50694.279999984545,TRUE,5.688316876120348
SBCT,2023-01-01T00:00:00Z,2184,2044,49872.29999999997,45222.70999999969,4649.589999999997,4649.590000000273,TRUE,2.2747504892369244
SBCT,2023-02-01T00:00:00Z,1956,1846,45268.33333333341,40715.88333333345,4552.4499999999925,4552.449999999961,TRUE,2.4661159263271726
SBCT,2023-03-01T00:00:00Z,2266,2135,51776.616666666676,47206.87333333268,4569.743333333343,4569.743333333994,TRUE,2.1403950039035102
SBCT,2023-04-01T00:00:00Z,2220,2095,51228.16666666657,46296.94333333299,4931.223333333329,4931.223333333583,TRUE,2.3538058870327365
SBCT,2023-05-01T00:00:00Z,2556,2382,59096.98333333339,52810.61999999909,6286.363333333348,6286.363333334295,TRUE,2.639111390988369
SBCT,2023-06-01T00:00:00Z,2314,2163,53816.633333333375,47915.00999999972,5901.623333333326,5901.623333333657,TRUE,2.7284435198028927
SBCT,2023-07-01T00:00:00Z,2568,2420,60367.64999999993,53510.50333333252,6857.146666666678,6857.14666666741,TRUE,2.8335316804410784
SBCT,2023-08-01T00:00:00Z,2549,2429,60406.250000000015,53735.2633333328,6670.986666666674,6670.986666667217,TRUE,2.746392205297331
SBCT,2023-09-01T00:00:00Z,2372,2264,55737.816666666586,50080.07999999956,5657.736666666664,5657.736666667028,TRUE,2.499000294464235
SBCT,2023-10-01T00:00:00Z,2434,2274,56896.25000000004,50475.00333333281,6421.246666666655,6421.246666667226,TRUE,2.8237672236883142
SBCT,2023-11-01T00:00:00Z,2332,2191,52153.849999999904,48411.376666666314,3742.4733333333297,3742.47333333359,TRUE,1.7081119732239114
SBCT,2023-12-01T00:00:00Z,2457,2318,54507.06666666671,51400.463333332504,3106.603333333335,3106.6033333342057,TRUE,1.34020851308637
SBPA,2023-01-01T00:00:00Z,2663,0,0,0,0,0,TRUE,NA
SBPA,2023-02-01T00:00:00Z,2204,0,0,0,0,0,TRUE,NA
SBPA,2023-03-01T00:00:00Z,2576,0,0,0,0,0,TRUE,NA
SBPA,2023-04-01T00:00:00Z,2535,0,0,0,0,0,TRUE,NA
SBPA,2023-05-01T00:00:00Z,2930,0,0,0,0,0,TRUE,NA
SBPA,2023-06-01T00:00:00Z,2801,0,0,0,0,0,TRUE,NA
SBPA,2023-07-01T00:00:00Z,2974,0,0,0,0,0,TRUE,NA
SBPA,2023-08-01T00:00:00Z,3032,0,0,0,0,0,TRUE,NA
SBPA,2023-09-01T00:00:00Z,2613,0,0,0,0,0,TRUE,NA
SBPA,2023-10-01T00:00:00Z,2771,0,0,0,0,0,TRUE,NA
SBPA,2023-11-01T00:00:00Z,2781,0,0,0,0,0,TRUE,NA
SBPA,2023-12-01T00:00:00Z,2881,0,0,0,0,0,TRUE,NA
